经度,纬度,结果,取绝对值后,分级
116.479086,39.87201942,3.269562681,3.269562681,4
116.4789833,39.87197722,2.985838967,2.985838967,4
116.4789644,39.87195389,2.856806392,2.856806392,4
116.4789885,39.87194778,2.73679489,2.73679489,4
116.4790096,39.8719384,2.681536108,2.681536108,4
116.4790268,39.8719334,1.361730911,1.361730911,2
116.4790364,39.87192747,1.514974282,1.514974282,2
116.4790428,39.87192314,0.397626839,0.397626839,1
116.4790444,39.87191899,0.962707319,0.962707319,1
116.479044,39.87191779,0.382896646,0.382896646,1
116.4790438,39.87191671,0.873603478,0.873603478,1
116.4790405,39.87191818,1.767768623,1.767768623,3
116.4790389,39.87192055,2.528797801,2.528797801,3
116.4790421,39.87191144,2.362244742,2.362244742,3
116.4790422,39.87190506,2.698412732,2.698412732,4
116.4790433,39.87190113,2.677617984,2.677617984,4
116.4790428,39.87189826,3.357485412,3.357485412,4
116.4790446,39.87188857,3.385697459,3.385697459,4
116.4790451,39.87188782,3.30947241,3.30947241,4
116.4790451,39.8718872,2.977731624,2.977731624,4
116.4790449,39.87188679,2.986701555,2.986701555,4
116.4790445,39.87188616,2.63911311,2.63911311,3
116.479044,39.87188593,2.679213514,2.679213514,4
116.4790435,39.87188573,2.654795241,2.654795241,4
116.4790427,39.87188574,2.713135647,2.713135647,4
116.4790418,39.87188576,2.741362163,2.741362163,4
116.4790412,39.87188523,3.04249109,3.04249109,4
116.4790412,39.87188523,3.305381501,3.305381501,4
116.4790412,39.87188523,3.380611145,3.380611145,4
116.4790412,39.87188523,3.39582845,3.39582845,4
116.4790412,39.87188523,3.384310331,3.384310331,4
116.4790412,39.87188523,3.348780811,3.348780811,4
116.4790412,39.87188523,3.344171485,3.344171485,4
116.4790412,39.87188523,3.413971624,3.413971624,4
116.4790412,39.87188523,3.416613533,3.416613533,4
116.4790412,39.87188523,3.362959185,3.362959185,4
116.4790412,39.87188523,3.062354878,3.062354878,4
116.4790412,39.87188523,2.664839497,2.664839497,4
116.4790412,39.87188523,2.379551415,2.379551415,3
116.4790412,39.87188523,2.372137278,2.372137278,3
116.4790412,39.87188523,2.181802578,2.181802578,3
116.4790412,39.87188523,1.956503802,1.956503802,3
116.4790412,39.87188523,2.380711524,2.380711524,3
116.4790272,39.87184829,2.814940481,2.814940481,4
116.4790451,39.8718427,2.808975129,2.808975129,4
116.4790501,39.87183103,2.673448414,2.673448414,4
116.4790533,39.87182046,1.950496448,1.950496448,3
116.4790552,39.8718116,2.225726854,2.225726854,3
116.4790547,39.87180188,2.23237395,2.23237395,3
116.4790643,39.87179204,2.373458919,2.373458919,3
116.4790696,39.87177601,2.251435776,2.251435776,3
116.479075,39.87174698,1.827136577,1.827136577,3
116.47909,39.8717049,1.789915089,1.789915089,3
116.4791149,39.87165325,1.879829875,1.879829875,3
